,Timestamp,Comments,comments_comp,comments_neg,comments_neu,comments_pos
0,4/2/2018,0,,,,
1,4/4/2018,1,0.3182,0,0.943,0.057
2,4/5/2018,6,0.144283333,0.022333333,0.922666667,0.055
3,4/6/2018,6,0.482635294,0.034176471,0.794411765,0.171352941
4,4/7/2018,2,0.8474,0.0295,0.8005,0.17
5,4/8/2018,3,0.408866667,0.052666667,0.658,0.289333333
6,4/10/2018,0,,,,
7,4/11/2018,2,0.3526,0.0285,0.905,0.0665
8,4/12/2018,2,0.202775,0,0.7795,0.2205
9,4/14/2018,0,,,,
10,4/16/2018,6,0.66216,0.0018,0.8306,0.1678
11,4/18/2018,1,0,0,1,0
12,4/19/2018,5,0.18622,0.0462,0.8492,0.1046
13,4/20/2018,4,0.455972619,0.000952381,0.52122619,0.382583333
14,4/21/2018,0,,,,
15,4/22/2018,8,0.131846667,0.023133333,0.9186,0.0582
16,4/23/2018,2,0.34014,0.0328,0.8568,0.1106
17,4/24/2018,4,0.32745,0,0.7775,0.2225
18,4/26/2018,2,0.237695238,0.035142857,0.8395,0.125190476
19,4/27/2018,0,0.8477,0.09,0.728,0.182
20,4/28/2018,0,,,,
21,4/29/2018,3,0.6221,0.018,0.861333333,0.120733333
22,4/30/2018,0,0.3182,0,0.943,0.057
23,5/1/2018,2,0.057391667,0.035680556,0.881805556,0.082513889
24,5/3/2018,1,0.076192063,0.02815873,0.865206349,0.106539683
25,5/4/2018,6,0.136409091,0.045681818,0.918045455,0.036363636
26,5/5/2018,0,,,,
27,5/6/2018,2,0.78785,0.0205,0.8635,0.116
28,5/7/2018,5,0.246215455,0.061272727,0.752327273,0.186304545
29,5/8/2018,3,0.438566667,0.010666667,0.59,0.065666667
30,5/9/2018,0,0.3182,0,0.943,0.057
31,5/10/2018,5,0.07492,0.0242,0.9198,0.056
32,5/11/2018,3,0.37494,0.1111,0.7678,0.1211
33,5/13/2018,5,0.598319444,0.005055556,0.774111111,0.220833333
34,5/14/2018,3,0.674466667,0.046333333,0.843,0.110333333
35,5/15/2018,0,,,,
36,5/16/2018,2,0.3182,0,0.943,0.057
37,5/17/2018,2,0.493375,0,0.8325,0.1675
38,5/20/2018,5,0.1426,0.06075,0.84375,0.09575
39,5/21/2018,0,,,,
40,5/22/2018,2,0.3481625,0.004875,0.832875,0.16225
41,5/23/2018,4,0.532525,0.00575,0.8365,0.15775
42,5/24/2018,6,0.134016667,0.014833333,0.738833333,0.079833333
43,5/25/2018,4,0.447626667,0.0138,0.888033333,0.098166667
44,5/28/2018,0,,,,
45,5/29/2018,1,0.3182,0,0.943,0.057
46,5/31/2018,0,,,,
47,6/1/2018,3,0.425278571,0.004857143,0.864428571,0.130571429
48,6/2/2018,6,0.481301111,0.012888889,0.900011111,0.0871
49,6/3/2018,5,0.358558929,0.016113095,0.904363095,0.079654762
50,6/5/2018,3,0.668983333,0.006766667,0.854833333,0.138233333
51,6/6/2018,3,0.565975,0.01095,0.84895,0.1401
52,6/7/2018,0,,,,
53,6/8/2018,0,0,0,1,0
54,6/9/2018,1,0.38885,0.0385,0.8295,0.132
55,6/10/2018,4,0.100475,0.012,0.9675,0.02025
56,6/11/2018,0,,,,
57,6/12/2018,0,,,,
58,6/13/2018,1,0.37095,0.03,0.8345,0.1355
59,6/14/2018,2,0.1263,0.222,0.505,0.272
60,6/15/2018,4,0.19705,0.021,0.84,0.139
61,6/18/2018,0,,,,
62,6/19/2018,5,0.609644444,0.036,0.832388889,0.131611111
63,6/20/2018,6,0.230705556,0.029555556,0.899666667,0.070777778
64,6/21/2018,0,,,,
65,6/22/2018,2,0.3182,0,0.943,0.057
66,6/23/2018,0,,,,
67,6/24/2018,4,0.651225,0.02375,0.8615,0.115
68,6/25/2018,32,0.498383871,0.009225806,0.863387097,0.127322581
69,6/26/2018,0,0.6249,0,0.594,0.406
70,6/27/2018,1,0.310925,0,0.9215,0.0785
71,6/28/2018,2,0.57046875,0.0195,0.8404375,0.1400625
72,6/29/2018,14,0.265297826,0.012391304,0.7765,0.211086957
73,6/30/2018,2,0.255375,0.0995,0.34475,0.55575
74,7/2/2018,6,0.497190909,0.007590909,0.742454545,0.249954545
75,7/3/2018,2,0.347066667,0.038833333,0.738,0.223166667
76,7/4/2018,8,0.318325,0.028464286,0.805964286,0.165678571
77,7/6/2018,0,,,,
78,7/7/2018,0,,,,
79,7/8/2018,0,,,,
80,7/9/2018,0,,,,
81,7/10/2018,3,0.30920625,0.018375,0.8685,0.1130625
82,7/11/2018,2,0.494071667,0.010083333,0.811941667,0.177975
83,7/13/2018,0,,,,
84,7/16/2018,0,0.3182,0,0.943,0.057
85,7/17/2018,1,0.91175,0,0.77,0.23
86,7/18/2018,0,,,,
87,7/19/2018,2,0.1591,0,0.9715,0.0285
88,7/21/2018,4,-0.133475,0.0935,0.8375,0.069
89,7/23/2018,4,0.283246667,0.035766667,0.859,0.105233333
90,7/24/2018,0,,,,
91,7/25/2018,0,,,,
92,7/27/2018,1,0.4948,0.0275,0.86675,0.106
93,7/28/2018,0,,,,
94,7/29/2018,10,0.60247,0.0176,0.8033,0.1792
95,7/30/2018,0,,,,
96,7/31/2018,0,,,,
97,8/1/2018,4,0.326133333,0.0655,0.755366667,0.179133333
98,8/2/2018,1,0.2294,0,0.9465,0.0535
99,8/3/2018,2,0.4721,0.023,0.851,0.126
100,8/5/2018,1,0.296,0.046,0.895,0.059
101,8/6/2018,2,0.570125,0.02925,0.83675,0.13375
102,8/7/2018,1,0.3182,0,0.943,0.057
103,8/9/2018,0,0.3182,0,0.943,0.057
104,8/10/2018,0,,,,
105,8/11/2018,0,,,,
106,8/13/2018,0,,,,
107,8/15/2018,2,0.38394,0.0282,0.8,0.1719
108,8/16/2018,0,,,,
109,8/17/2018,0,,,,
110,8/19/2018,8,0.696486667,0.025466667,0.836366667,0.1382
111,8/20/2018,6,0.325531985,0.024849265,0.887878676,0.087319853
112,8/21/2018,2,0.17585,0.0745,0.798,0.1275
113,8/22/2018,2,0.3182,0,0.943,0.057
114,8/23/2018,0,0.3182,0,0.943,0.057
